__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1778092886.594485,,,,1778092886.594398975,0.751026451,-0.620646872,-0.807368015,-0.315634997
1778092886.595405,-5.872900994,-1.027854298,0.000000000,,,,,
1778092886.595424,,,,1778092886.595320702,0.750458467,-0.625975690,-0.807655254,-0.316567627
1778092886.596416,-5.877905565,-1.003717415,0.000000000,,,,,
1778092886.596431,,,,1778092886.596359253,0.749810722,-0.632000032,-0.807980763,-0.317596350
1778092886.597494,-5.883568383,-0.976499212,0.000000000,,,,,
1778092886.597516,,,,1778092886.597378969,0.749167432,-0.637933011,-0.808302020,-0.318581050
1778092886.598480,-5.889140675,-0.949798776,0.000000000,,,,,
1778092886.598499,,,,1778092886.598380089,0.748520709,-0.643848440,-0.808622981,-0.319535089
1778092886.599378,-5.894692916,-0.923276034,0.000000000,,,,,
1778092886.599394,,,,1778092886.599309444,0.747907422,-0.649415200,-0.808925563,-0.320407001
1778092886.600487,-5.899911054,-0.898417949,0.000000000,,,,,
1778092886.600502,,,,1778092886.600403070,0.747180030,-0.655957623,-0.809281968,-0.321403259
1778092886.601480,-5.906053052,-0.869264789,0.000000000,,,,,
1778092886.601521,,,,1778092886.601404190,0.746514695,-0.661894376,-0.809605920,-0.322277042
1778092886.602500,-5.911615999,-0.842933922,0.000000000,,,,,
1778092886.602515,,,,1778092886.602404356,0.745846406,-0.667810224,-0.809929272,-0.323120579
1778092886.603405,-5.917156226,-0.816787421,0.000000000,,,,,
1778092886.603421,,,,1778092886.603347540,0.745221383,-0.673303085,-0.810229927,-0.323878798
1778092886.604636,-5.922293239,-0.792606132,0.000000000,,,,,
1778092886.604681,,,,1778092886.604521036,0.744431603,-0.680179667,-0.810607062,-0.324799121
1778092886.605502,-5.928739929,-0.762373257,0.000000000,,,,,
1778092886.605548,,,,1778092886.605371475,0.743872064,-0.685022374,-0.810872873,-0.325421842
1778092886.606509,-5.933258276,-0.741220092,0.000000000,,,,,
1778092886.606529,,,,1778092886.606414318,0.743137894,-0.691323358,-0.811219300,-0.326209001
1778092886.607431,-5.939152906,-0.713717642,0.000000000,,,,,
1778092886.607448,,,,1778092886.607333660,0.742472513,-0.696993141,-0.811531364,-0.326890348
1778092886.608482,-5.944447637,-0.689074914,0.000000000,,,,,
1778092886.608498,,,,1778092886.608402014,0.741719548,-0.703356850,-0.811882099,-0.327628023
1778092886.609469,-5.950396492,-0.661474298,0.000000000,,,,,
1778092886.609483,,,,1778092886.609395981,0.741011047,-0.709300541,-0.812210018,-0.328288752
